date,adjVolume_SandP,adjClose_SandP,adjClose_aapl,adjVolume_aapl,adjClose_fb,adjVolume_fb,adjClose_goog,adjVolume_goog,adjClose_msft,adjVolume_msft
2020-04-02,6454990000.0,2526.89990234375,60.9585578706,165933972.0,158.19,20886309,1120.84,1964881,154.45902441549998,49630735
2020-04-03,6087190000.0,2488.64990234375,60.082494817,129880068.0,154.18,25983317,1097.88,2313400,153.03640168639998,41243284
2020-04-06,6391860000.0,2663.679931640625,65.3239402453,201820284.0,165.55,28453581,1186.92,2664723,164.41738351889998,67111697
2020-04-07,7040720000.0,2659.409912109375,64.5673403355,202887324.0,168.83,31411919,1186.51,2387329,162.6465664156,62769038
2020-04-08,5856370000.0,2749.97998046875,66.2199138228,168895284.0,174.28,21664198,1210.28,1975135,164.2781057692,48318234
2020-04-09,7880140000.0,2789.820068359375,66.6977663975,162116492.0,175.19,23534287,1211.45,2175421,164.2880541799,51431775
2020-04-13,5274310000.0,2761.6298828125,68.00688334680001,131022924.0,174.79,19355355,1217.56,1739828,164.6561453755,41905264
2020-04-14,5567400000.0,2846.06005859375,71.4414487272,194994688.0,178.17,21011815,1269.23,2470353,172.8038937329,52874338
2020-04-15,5203390000.0,2783.360107421875,70.789379068,131154564.0,176.97,17423003,1262.47,1671703,170.9932829868,40940833
2020-04-16,5179990000.0,2799.550048828125,71.3518513694,157125160.0,176.25,23593229,1263.47,2518099,176.12666290419997,50479610
2020-04-17,5792140000.0,2874.56005859375,70.3837021427,215249912.0,179.24,20974750,1283.25,1949042,177.67861497229998,52765625
2020-04-20,5220160000.0,2823.159912109375,68.9227674483,130015000.0,178.24,16110664,1266.61,1695488,174.15687758709998,36669595
2020-04-21,5075830000.0,2736.56005859375,66.7923413862,180991572.0,170.8,24850528,1216.34,2153003,166.9542282455,56203749
2020-04-22,5049660000.0,2799.31005859375,68.71619576229999,117057368.0,182.28,33369931,1263.21,2093140,172.62482234040002,34651604
2020-04-23,5756520000.0,2797.800048828125,68.4498925046,124814328.0,185.13,21426604,1276.31,1566203,170.5356560949,32790804
2020-04-24,5374480000.0,2836.739990234375,70.42601200600001,126508732.0,190.07,28868528,1279.31,1640394,173.64950864169998,34305320
2020-04-27,5194260000.0,2878.47998046875,70.4757883159,117087572.0,187.5,29197750,1275.88,1600563,173.15208810709998,33194384
2020-04-28,5672880000.0,2863.389892578125,69.3334220046,112004748.0,182.91,21730986,1233.67,2951309,168.9339619734,34392694
2020-04-29,6620140000.0,2939.510009765625,71.6106881807,137280816.0,194.19,45954521,1341.48,3793630,176.51465092130002,51286559
2020-04-30,6523120000.0,2912.429931640625,73.121399185,183063872.0,204.71,46230116,1348.66,2668906,178.2854680246,53875857
2020-05-01,4753160000.0,2830.7099609375,71.9441894568,240616700.0,202.27,30415581,1320.61,2072639,173.66940546310002,39370474
2020-05-04,4723140000.0,2842.739990234375,72.96211499340001,133567944.0,205.26,19250673,1326.8,1504017,177.9173768289,30372862
2020-05-05,5129590000.0,2868.43994140625,74.0571938104,147751180.0,207.07,21071223,1351.11,1651533,179.8274716819,36839168
2020-05-06,4861920000.0,2848.419921875,74.8212601667,142333752.0,208.47,21856963,1347.3,1215423,181.5982887852,32139299
2020-05-07,5164640000.0,2881.18994140625,75.5952817851,115215056.0,211.26,15151976,1372.56,1399759,182.65282031869998,28315992
2020-05-08,4857160000.0,2929.800048828125,77.3897177555,134047940.0,212.35,12524048,1388.37,1388068,183.7272486735,30912638
2020-05-11,4807320000.0,2930.18994140625,78.6074710288,145946244.0,213.18,12911948,1403.26,1412116,185.7766212762,30892660
2020-05-12,5107710000.0,2870.1201171875,77.7091284502,162301052.0,210.1,14704647,1375.74,1390600,181.56844355319998,32038199
2020-05-13,6143130000.0,2820.0,76.77085953470001,200622556.0,205.1,20684559,1349.33,1812585,178.822682202,44711488
2020-05-14,5641920000.0,2852.5,77.2424893885,158929076.0,206.81,17178947,1356.13,1603077,179.59865823599998,41873911
2020-05-15,5477040000.0,2863.699951171875,76.785831911,166348376.0,210.88,19383154,1373.19,1707747,182.2150902482,46610382
2020-05-18,6364290000.0,2953.909912109375,78.5949940486,135372500.0,213.19,20167443,1383.94,1823964,183.95606211939997,35306620
2020-05-19,4969330000.0,2922.93994140625,78.1408319671,101729540.0,216.88,31843152,1373.48,1280649,182.6826655507,26799116
2020-05-20,4992970000.0,2971.610107421875,79.6605281627,111504860.0,229.97,50162875,1406.72,1655375,185.20956186669997,31261334
2020-05-21,4966940000.0,2948.510009765625,79.0666239024,102688844.0,231.39,47577915,1402.8,1378020,182.9849721707,29032741
2020-05-22,3952800000.0,2955.449951171875,79.5756846969,81803016.0,234.91,33925564,1410.42,1309408,183.0647780791,20826898
2020-05-26,5837060000.0,2991.77001953125,79.0366791497,125521816.0,232.2,33178318,1417.02,2060643,181.1294848009,36073609
2020-05-27,6371230000.0,3036.1298828125,79.3810438049,112945096.0,229.14,34697553,1417.84,1686142,181.36890252599997,39517146
2020-05-28,5402670000.0,3029.72998046875,79.4159793496,133796412.0,225.46,29423013,1416.73,1693976,180.95989724560002,33831824
2020-05-29,7275080000.0,3044.31005859375,79.33862207199999,153598128.0,225.09,23322476,1428.92,1838059,182.80540887680002,42146720
2020-06-01,4673410000.0,3055.72998046875,80.3143219283,81018612.0,231.91,18223839,1431.82,1217140,182.3864278579,22668821
2020-06-02,5187230000.0,3080.820068359375,80.68613594,87642816.0,232.72,20919018,1439.22,1278128,184.4613814757,30794585
2020-06-03,5989560000.0,3122.8701171875,81.13031643720001,104491216.0,230.16,15380282,1436.38,1256186,184.9102897103,27311016
2020-06-04,6428130000.0,3112.35009765625,80.4316055427,87560364.0,226.29,17041481,1412.18,1484272,182.47620950479998,28761809
2020-06-05,8617590000.0,3193.929931640625,82.7223791183,137250200.0,230.77,16750438,1438.39,1735244,186.745825603,39893643
2020-06-08,8437380000.0,3232.389892578125,83.2114767444,95654536.0,231.4,15466499,1446.61,1404178,187.90301127439997,33211590
2020-06-09,6382620000.0,3207.179931640625,85.83912878699999,147712364.0,238.67,27462872,1456.16,1409249,189.33951762520002,29783916
2020-06-10,6570840000.0,3190.139892578125,88.0475542929,,236.73,20720709,1465.85,1525153,196.3624375624,43872329
2020-06-11,7018890000.0,3002.10009765625,83.82035338109999,201662452.0,224.43,26708163,1403.84,1991332,185.8180819181,52854672
2020-06-12,5832250000.0,3041.31005859375,84.5440182361,200146052.0,228.58,22091387,1413.18,1946367,187.28451548450002,43373587
2020-06-15,5740660000.0,3066.590087890625,85.58958918180001,138808920.0,232.5,15340264,1419.85,1506096,188.4816041102,32770189
2020-06-16,5829240000.0,3124.739990234375,87.857904193,165428728.0,235.65,15236691,1442.72,1711614,193.1003710575,42556656
2020-06-17,4549390000.0,3113.489990234375,87.7356297864,114406504.0,235.53,19578125,1451.12,1549615,193.7687455402,25687822
2020-06-18,4429030000.0,3115.340087890625,87.7705653311,96820384.0,235.94,15782452,1435.96,1581916,195.843699158,23061648
2020-06-19,8327780000.0,3097.739990234375,87.26899072469999,264475808.0,238.79,30081291,1431.72,3157875,194.676537748,44441141
2020-06-22,4665380000.0,3117.860107421875,89.5522781122,135445264.0,239.22,18917782,1451.86,1542440,200.08338804049998,32818929
2020-06-23,4704830000.0,3131.2900390625,91.46375148790001,212155476.0,242.24,24017915,1464.41,1429764,201.4201370059,30917447
2020-06-24,5587200000.0,3050.330078125,89.8492302423,192623396.0,234.02,20834904,1431.97,1756022,197.3600114172,36740647
2020-06-25,4815420000.0,3083.760009765625,91.0420295551,137522512.0,235.68,18704339,1441.33,1230474,199.8539460539,27803933
